,ds,y,consumer_price_index,GDP_US,inflation,covid_US,covid_EU
1916,2017-05-08,1.0965152978897095,244.274,19379.232,1.87,0.0,0.0
1917,2017-05-09,1.0927767753601074,244.274,19379.232,1.91,0.0,0.0
1918,2017-05-10,1.0886842012405396,244.274,19379.232,1.9,0.0,0.0
1919,2017-05-11,1.087074637413025,244.274,19379.232,1.91,0.0,0.0
1920,2017-05-12,1.0864958763122559,244.274,19379.232,1.92,0.0,0.0
1921,2017-05-15,1.0927289724349976,244.069,19379.232,1.92,0.0,0.0
1922,2017-05-16,1.0981770753860474,244.069,19379.232,1.88,0.0,0.0
1923,2017-05-17,1.1093976497650146,244.069,19379.232,1.87,0.0,0.0
1924,2017-05-18,1.115635633468628,244.069,19379.232,1.86,0.0,0.0
1925,2017-05-19,1.1113580465316772,244.069,19379.232,1.86,0.0,0.0
1926,2017-05-22,1.120485782623291,244.069,19379.232,1.86,0.0,0.0
1927,2017-05-23,1.123885989189148,244.069,19379.232,1.86,0.0,0.0
1928,2017-05-24,1.11793053150177,244.069,19379.232,1.85,0.0,0.0
1929,2017-05-25,1.1230907440185547,244.069,19379.232,1.88,0.0,0.0
1930,2017-05-26,1.121076226234436,244.069,19379.232,1.84,0.0,0.0
1931,2017-05-29,1.1176055669784546,244.069,19379.232,1.82,0.0,0.0
1932,2017-05-30,1.1129041910171509,244.069,19379.232,1.82,0.0,0.0
1933,2017-05-31,1.117168664932251,244.069,19379.232,1.78,0.0,0.0
1934,2017-06-01,1.1243535280227661,244.069,19379.232,1.8,0.0,0.0
1935,2017-06-02,1.1215791702270508,244.069,19379.232,1.82,0.0,0.0
1936,2017-06-05,1.128082513809204,244.069,19379.232,1.82,0.0,0.0
1937,2017-06-06,1.1256824731826782,244.069,19379.232,1.83,0.0,0.0
1938,2017-06-07,1.1271415948867798,244.069,19379.232,1.81,0.0,0.0
1939,2017-06-08,1.125517725944519,244.069,19379.232,1.8,0.0,0.0
1940,2017-06-09,1.1184805631637573,244.069,19379.232,1.81,0.0,0.0
1941,2017-06-12,1.1201971769332886,244.069,19379.232,1.81,0.0,0.0
1942,2017-06-13,1.1196202039718628,244.069,19379.232,1.81,0.0,0.0
1943,2017-06-14,1.1208877563476562,244.069,19379.232,1.81,0.0,0.0
1944,2017-06-15,1.1215791702270508,244.218,19379.232,1.81,0.0,0.0
1945,2017-06-16,1.1146905422210693,244.218,19379.232,1.79,0.0,0.0
1946,2017-06-19,1.120824933052063,244.218,19379.232,1.79,0.0,0.0
1947,2017-06-20,1.1144545078277588,244.218,19379.232,1.77,0.0,0.0
1948,2017-06-21,1.1136974096298218,244.218,19379.232,1.78,0.0,0.0
1949,2017-06-22,1.1167196035385132,244.218,19379.232,1.78,0.0,0.0
1950,2017-06-23,1.1149640083312988,244.218,19379.232,1.78,0.0,0.0
1951,2017-06-26,1.1198835372924805,244.218,19379.232,1.75,0.0,0.0
1952,2017-06-27,1.118355631828308,244.218,19379.232,1.75,0.0,0.0
1953,2017-06-28,1.1339154243469238,244.218,19379.232,1.71,0.0,0.0
1954,2017-06-29,1.1382650136947632,244.218,19379.232,1.67,0.0,0.0
1955,2017-06-30,1.144164800643921,244.218,19379.232,1.67,0.0,0.0
1956,2017-07-03,1.1423088312149048,244.218,19379.232,1.67,0.0,0.0
1957,2017-07-04,1.1371389627456665,244.218,19379.232,1.66,0.0,0.0
1958,2017-07-05,1.1360150575637817,244.218,19379.232,1.66,0.0,0.0
1959,2017-07-06,1.1346874237060547,244.218,19379.232,1.69,0.0,0.0
1960,2017-07-07,1.1424784660339355,244.218,19379.232,1.7,0.0,0.0
1961,2017-07-10,1.140380859375,244.218,19379.232,1.71,0.0,0.0
1962,2017-07-12,1.1473942995071411,244.218,19379.232,1.73,0.0,0.0
1963,2017-07-13,1.1418914794921875,244.218,19379.232,1.72,0.0,0.0
1964,2017-07-14,1.140393853187561,244.218,19379.232,1.73,0.0,0.0
1965,2017-07-17,1.1475391387939453,244.28,19617.288,1.75,0.0,0.0
1966,2017-07-18,1.1474337577819824,244.28,19617.288,1.75,0.0,0.0
1967,2017-07-19,1.1549744606018066,244.28,19617.288,1.75,0.0,0.0
1968,2017-07-20,1.1528440713882446,244.28,19617.288,1.76,0.0,0.0
1969,2017-07-21,1.1628718376159668,244.28,19617.288,1.73,0.0,0.0
1970,2017-07-24,1.1681697368621826,244.28,19617.288,1.72,0.0,0.0
1971,2017-07-25,1.1638869047164917,244.28,19617.288,1.75,0.0,0.0
1972,2017-07-26,1.1644561290740967,244.28,19617.288,1.76,0.0,0.0
1973,2017-07-27,1.1728004217147827,244.28,19617.288,1.77,0.0,0.0
1974,2017-07-28,1.1688660383224487,244.28,19617.288,1.76,0.0,0.0
1975,2017-07-31,1.1747292280197144,244.28,19617.288,1.77,0.0,0.0
1976,2017-08-01,1.182410478591919,244.28,19617.288,1.76,0.0,0.0
1977,2017-08-02,1.1811256408691406,244.28,19617.288,1.76,0.0,0.0
1978,2017-08-03,1.1851149797439575,244.28,19617.288,1.77,0.0,0.0
1979,2017-08-04,1.1884952783584595,244.28,19617.288,1.76,0.0,0.0
1980,2017-08-07,1.1778424978256226,244.28,19617.288,1.78,0.0,0.0
1981,2017-08-08,1.1800941228866577,244.28,19617.288,1.81,0.0,0.0
1982,2017-08-09,1.1754610538482666,244.28,19617.288,1.8,0.0,0.0
1983,2017-08-10,1.1761523485183716,244.28,19617.288,1.83,0.0,0.0
1984,2017-08-11,1.177024483680725,244.28,19617.288,1.83,0.0,0.0
1985,2017-08-14,1.182550311088562,244.28,19617.288,1.82,0.0,0.0
1986,2017-08-15,1.1775789260864258,245.205,19617.288,1.79,0.0,0.0
1987,2017-08-16,1.1741223335266113,245.205,19617.288,1.79,0.0,0.0
1988,2017-08-17,1.1774264574050903,245.205,19617.288,1.78,0.0,0.0
1989,2017-08-18,1.1715501546859741,245.205,19617.288,1.8,0.0,0.0
1990,2017-08-21,1.1756268739700317,245.205,19617.288,1.8,0.0,0.0
1991,2017-08-22,1.1811953783035278,245.205,19617.288,1.83,0.0,0.0
1992,2017-08-23,1.176221489906311,245.205,19617.288,1.82,0.0,0.0
1993,2017-08-24,1.1816558837890625,245.205,19617.288,1.8,0.0,0.0
1994,2017-08-25,1.1802195310592651,245.205,19617.288,1.79,0.0,0.0
1995,2017-08-28,1.1951857805252075,245.205,19617.288,1.77,0.0,0.0
1996,2017-08-29,1.1963869333267212,245.205,19617.288,1.78,0.0,0.0
1997,2017-08-30,1.1970456838607788,245.205,19617.288,1.78,0.0,0.0
1998,2017-08-31,1.1893434524536133,245.205,19617.288,1.77,0.0,0.0
1999,2017-09-01,1.1910432577133179,245.205,19617.288,1.76,0.0,0.0
2000,2017-09-04,1.1882835626602173,245.205,19617.288,1.75,0.0,0.0
2001,2017-09-05,1.1893434524536133,245.205,19617.288,1.77,0.0,0.0
2002,2017-09-06,1.1924067735671997,245.205,19617.288,1.75,0.0,0.0
2003,2017-09-07,1.1927765607833862,245.205,19617.288,1.75,0.0,0.0
2004,2017-09-08,1.2029062509536743,245.205,19617.288,1.75,0.0,0.0
2005,2017-09-11,1.2017642259597778,245.205,19617.288,1.75,0.0,0.0
2006,2017-09-12,1.1959433555603027,245.205,19617.288,1.74,0.0,0.0
2007,2017-09-13,1.1974613666534424,245.205,19617.288,1.76,0.0,0.0
2008,2017-09-14,1.1890605688095093,245.205,19617.288,1.76,0.0,0.0
2009,2017-09-15,1.1921650171279907,246.551,19617.288,1.79,0.0,0.0
2010,2017-09-18,1.193716287612915,246.551,19617.288,1.79,0.0,0.0
2011,2017-09-19,1.1959290504455566,246.551,19617.288,1.77,0.0,0.0
2012,2017-09-20,1.199256420135498,246.551,19617.288,1.78,0.0,0.0
2013,2017-09-21,1.1872113943099976,246.551,19617.288,1.79,0.0,0.0
2014,2017-09-22,1.194557547569275,246.551,19617.288,1.81,0.0,0.0
2015,2017-09-25,1.1927196979522705,246.551,19617.288,1.83,0.0,0.0
2016,2017-09-26,1.185564637184143,246.551,19617.288,1.84,0.0,0.0
2017,2017-09-27,1.1786059141159058,246.551,19617.288,1.85,0.0,0.0
2018,2017-09-28,1.1749638319015503,246.551,19617.288,1.85,0.0,0.0
2019,2017-09-29,1.178175449371338,246.551,19617.288,1.85,0.0,0.0
2020,2017-10-02,1.1807351112365723,246.551,19617.288,1.87,0.0,0.0
2021,2017-10-03,1.173378348350525,246.551,19617.288,1.87,0.0,0.0
2022,2017-10-04,1.1747568845748901,246.551,19617.288,1.85,0.0,0.0
2023,2017-10-05,1.175723671913147,246.551,19617.288,1.83,0.0,0.0
